Portfolio,Department/Agency,Outcome,Program,Expense type,Appropriation type,Description,2016-17,2017-18,2018-19,2019-20,2020-21,Source document,Source table,URL
Agriculture Portfolio,Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia’s marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing.",Program 1.1: Australian Fisheries Management Authority ,Administered Expenses,Ordinary annual services (Appropriation Bill No. 1),Illegal Foreign Fishing Vessel Caretaking and Disposal,5354,5424,5501,5588,5672,2017-18 PBS - AFMA tables.XLSX,AFMA Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia’s marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing.",Program 1.1: Australian Fisheries Management Authority ,Departmental Expenses,Departmental appropriation,,23438,22782,22742,22651,22890,2017-18 PBS - AFMA tables.XLSX,AFMA Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia’s marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing.",Program 1.1: Australian Fisheries Management Authority ,Departmental Expenses,Special account,AFMA Special account,14704,14238,14524,14813,15109,2017-18 PBS - AFMA tables.XLSX,AFMA Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Fisheries Management Authority,"Outcome 1: Ecologically sustainable and economically efficient Commonwealth fisheries, through understanding and monitoring Australia’s marine living resources and regulating and monitoring commercial fishing, including domestic licensing and deterrence of illegal foreign fishing.",Program 1.1: Australian Fisheries Management Authority ,Departmental Expenses,Expenses not requiring appropriation in the budget year,,1767,1853,1644,852,990,2017-18 PBS - AFMA tables.XLSX,AFMA Table 2.1,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Grape and Wine Authority,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance.",Program 1.1: Australian Grape and Wine Authority,Departmental Expenses,Revenue from Government,Payment from related entities,2000,16014,15924,26062,10000,2017-18 PBS - AGWA tables.XLSX,AGWA Table 2.1 ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Grape and Wine Authority,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance.",Program 1.1: Australian Grape and Wine Authority,Departmental Expenses,Special appropriations,"Australian Grape and Wine Authority Act 2013, s. 32 – payments to the Authority",31971,32825,30825,30825,30825,2017-18 PBS - AGWA tables.XLSX,AGWA Table 2.1 ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Grape and Wine Authority,"Outcome 1: Foster and enable a competitive Australian wine industry by investing in research and development, building markets, disseminating knowledge and ensuring compliance.",Program 1.1: Australian Grape and Wine Authority,Departmental Expenses,Revenues from other independent sources,,9719,10061,9213,8939,8398,2017-18 PBS - AGWA tables.XLSX,AGWA Table 2.1 ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines.",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,Revenue from Government,Ordinary annual services (Appropriation Bill No. 1),4744,0,0,0,0,2017-18 PBS - APVMA tables.XLSX,APVMA Table 2.1  ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines.",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,Revenue from Government,Payment from related entities,136,5628,13260,3747,4333,2017-18 PBS - APVMA tables.XLSX,APVMA Table 2.1  ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
Agriculture Portfolio,Australian Pesticides and Veterinary Medicines Authority,"Outcome 1: Protection of the health and safety of people, animals, the environment, and agricultural and livestock industries through regulation of pesticides and veterinary medicines.",Program 1.1: Australian Pesticides and Veterinary Medicines Authority,Departmental Expenses,Special appropriations,Agricultural and Veterinary Chemicals (Administration) Act 1992 – s. 58 (6) amount payable to the APVMA,33378,33237,33769,34319,35186,2017-18 PBS - APVMA tables.XLSX,APVMA Table 2.1  ,http://data.gov.au/dataset/d8f51107-d0de-4daf-a7d8-0fb7fbdce504/resource/d5bca8a5-f557-40da-8e5b-62047ce12802/download/2017-18-pbs-program-expenses-line-items.csv
